transaction_id;user_id;transaction_time;amount;merchant_id;country;ip_address;device_id;payment_method;status
T000001;U0753;2025-02-18 08:31:00;28,53;M103;PL;192.168.38.242;D0784;paypal;approved
T000002;U0156;2025-01-15 05:28:00;93,7;M046;PL;192.168.230.81;D1726;google_pay;approved
T000003;U0567;2025-03-02 18:12:00;11,34;M119;FR;192.168.45.64;D0147;card;approved
T000004;U0403;2025-01-26 02:20:00;16,97;M087;PL;192.168.51.170;D1527;paypal;approved
T000005;U1113;2025-05-30 14:46:00;13,11;M117;PL;192.168.85.48;D0578;apple_pay;declined
T000006;U1188;2025-02-11 10:18:00;43,6;M097;GB;192.168.120.104;D1340;paypal;declined
T000007;U0465;2025-05-18 22:05:00;56,31;M093;GB;192.168.46.61;D0479;google_pay;approved
T000008;U0960;2025-03-20 01:25:00;68,37;M093;NL;192.168.245.217;D1622;bank_transfer;declined
T000009;U0856;2025-01-24 08:45:00;24,1;M027;CZ;192.168.28.236;D0062;paypal;approved
T000010;U0626;2025-03-19 11:59:00;1,39;M095;RO;192.168.11.48;D1709;bank_transfer;approved
T000011;U0827;2025-05-23 23:16:00;61,32;M098;CZ;192.168.247.46;D0614;google_pay;approved
T000012;U0066;2025-03-13 03:48:00;6,99;M119;NL;192.168.89.57;D1164;google_pay;approved
T000013;U0781;2025-03-01 20:43:00;119,8;M027;FR;192.168.78.110;D1095;paypal;approved
T000014;U1167;2025-02-02 08:06:00;41,76;M058;PL;192.168.247.169;D0191;card;approved
T000015;U0066;2025-06-25 07:23:00;47,72;M106;GB;192.168.155.62;D0055;paypal;approved
T000016;U0791;2025-03-09 02:39:00;10,22;M037;PL;192.168.193.242;D1351;card;approved
T000017;U1062;2025-03-18 04:04:00;8,54;M002;SE;192.168.30.240;D0801;card;approved
T000018;U0980;2025-05-10 04:36:00;3,85;M096;IT;192.168.175.229;D0267;bank_transfer;approved
T000019;U0973;2025-03-25 13:12:00;38,02;M021;PL;192.168.126.195;D1204;google_pay;approved
T000020;U0565;2025-02-14 22:27:00;1,3;M026;ES;192.168.78.128;D0913;apple_pay;approved
T000021;U1077;2025-01-17 14:02:00;97,45;M043;GB;192.168.17.109;D0943;google_pay;approved
T000022;U0590;2025-05-28 10:52:00;86,14;M083;GB;192.168.169.120;D0711;apple_pay;approved
T000023;U0359;2025-04-30 23:33:00;12,46;M054;PT;192.168.39.218;D1502;apple_pay;approved
T000024;U0376;2025-01-29 18:00:00;34,63;M090;SE;192.168.111.120;D1431;paypal;declined
T000025;U0561;2025-03-16 20:54:00;40,56;M113;PL;192.168.196.60;D1366;paypal;declined
T000026;U1133;2025-03-01 08:22:00;215,55;M016;FR;192.168.43.80;D1548;google_pay;approved
T000027;U0840;2025-04-27 07:15:00;8,21;M058;IT;192.168.192.102;D1037;apple_pay;approved
T000028;U0946;2025-02-15 14:54:00;17,84;M049;SE;192.168.160.153;D1753;apple_pay;approved
T000029;U0235;2025-01-16 00:39:00;100,62;M091;NL;192.168.235.220;D1373;apple_pay;approved
T000030;U1124;2025-02-01 01:18:00;12,1;M085;GB;192.168.227.189;D0288;bank_transfer;declined
T000031;U0037;2025-05-03 05:21:00;5,24;M078;PL;192.168.178.24;D0255;apple_pay;approved
T000032;U0023;2025-06-12 12:12:00;13,77;M087;GB;192.168.167.8;D0734;paypal;approved
T000033;U1091;2025-02-26 03:05:00;24,34;M028;DE;192.168.80.64;D1714;card;approved
T000034;U0910;2025-03-10 04:50:00;37,47;M007;DE;192.168.222.199;D1582;paypal;declined
T000035;U0489;2025-05-04 18:47:00;4,83;M026;SE;192.168.48.25;D0058;bank_transfer;declined
T000036;U0130;2025-04-04 07:08:00;128,52;M029;FR;192.168.104.95;D1633;paypal;approved
T000037;U0221;2025-04-09 14:44:00;16,85;M105;CZ;192.168.77.89;D1284;google_pay;approved
T000038;U0810;2025-03-15 04:58:00;6,15;M055;IT;192.168.240.47;D0217;bank_transfer;approved
